subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
Substitution into Formula,Substitute negative integer values into expressions involving no powers or roots,If \( d=-2 \) what is the value of \( 10-2 d \) ?,If d=-2 what is the value of 10-2 d ?,\( 6 \),6,"1597    Believes multiplying two negatives gives a neg...
Name: MisconceptionName, dtype: object",
Counting,Count backwards in steps of of something other than one,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","George is counting backwards in steps of 5. He starts at the number 19,103 what is the next number he will say?",,"19,102","878    Counts on by 1, when asked to count forward/ba...
Name: MisconceptionName, dtype: object","\( 19,102 \)"
Counting,Count backwards in steps of of something other than one,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","George is counting backwards in steps of 5. He starts at the number 19,103 what is the next number he will say?","\( 19,099 \)","19,099","1824    Counts the starting number when counting backw...
Name: MisconceptionName, dtype: object",
Solving Linear Inequalities,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,"Solve
\[
2 n+3 \leq 3 n-7
\]",Solve      2 n+3 ≤ 3 n-7 ,,2 ≤ n,"1214    When solving an equation, uses the same operat...
Name: MisconceptionName, dtype: object",\( 2 \leq n \)
Solving Linear Inequalities,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,"Solve
\[
2 n+3 \leq 3 n-7
\]",Solve      2 n+3 ≤ 3 n-7 ,\( n \leq 10 \),n ≤ 10,"811    Believes they can multiply/divide through by a...
Name: MisconceptionName, dtype: object",
Solving Linear Inequalities,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,"Solve
\[
2 n+3 \leq 3 n-7
\]",Solve      2 n+3 ≤ 3 n-7 ,\( -4 \leq n \),-4 ≤ n,"1214    When solving an equation, uses the same operat...
Name: MisconceptionName, dtype: object",
Function Machines,Determine the function of a single function machine used to create an algebraic expression,"Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be \( +2 m \)
Katie says the function could be \( \times 3 \)
Who do you agree with?","Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be +2 m Katie says the function could be × 3 Who do you agree with?",Both Tom and Katie,Both Tom and Katie,"220    Only multiplies the first term in the expansio...
Name: MisconceptionName, dtype: object",
Length Units,Convert between cm and m,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,     450  cm=       □ m  ,\( 45 \),45,"704    Thinks there are 10cm in a metre
Name: MisconceptionName, dtype: object",
Length Units,Convert between cm and m,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,     450  cm=       □ m  ,\( 5 \),5,"1272    Gives a rounded whole number instead of a decimal
Name: MisconceptionName, dtype: object",
Length Units,Convert between cm and m,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,     450  cm=       □ m  ,\( 45000 \),45000,"1651    Multiplies when converting to a larger unit
Name: MisconceptionName, dtype: object",
Linear Equations,"Solve linear equations with the variable appearing on both sides, involving positive fractions","Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",Which of the following is a correct first step to solve this equation: 2 r-3/5=2+r,,2 r/5=5+r,"1566    Adds or subtracts from numerator first when so...
Name: MisconceptionName, dtype: object",\( \frac{2 r}{5}=5+r \)
Linear Equations,"Solve linear equations with the variable appearing on both sides, involving positive fractions","Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",Which of the following is a correct first step to solve this equation: 2 r-3/5=2+r,\( 10 r-15=10+5 r \),10 r-15=10+5 r,"98    Incorrectly clears fractions from equations
Name: MisconceptionName, dtype: object",
Linear Equations,"Solve linear equations with the variable appearing on both sides, involving positive fractions","Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",Which of the following is a correct first step to solve this equation: 2 r-3/5=2+r,\( 2 r-3=10+r \),2 r-3=10+r,"347    When solving an equation with a fraction, thin...
Name: MisconceptionName, dtype: object",
Real Life Graphs,Given a situation sketch an appropriate real life graph,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()","Water is poured into a glass at a constant rate.  This graph shows how the depth (d) of water in a glass changes over time (t).  Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",,![A cylinder sitting on one of its circular faces.](),"218    Does not interpret a sloping gradient as a cha...
Name: MisconceptionName, dtype: object",![A cylinder sitting on one of its circular faces.]()
Real Life Graphs,Given a situation sketch an appropriate real life graph,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()","Water is poured into a glass at a constant rate.  This graph shows how the depth (d) of water in a glass changes over time (t).  Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",![A narrow cylinder with a wide cylinder on top.](),![A narrow cylinder with a wide cylinder on top.](),"961    Does not spot the difference between a gradual...
Name: MisconceptionName, dtype: object",
Place Value,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 901,426 \) ?","What number is 10,000 less than 901,426 ?",,"801,426","2264    When subtracting a power of 10, subtracts from...
Name: MisconceptionName, dtype: object","\( 801,426 \)"
Place Value,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 901,426 \) ?","What number is 10,000 less than 901,426 ?","\( 911,426 \)","911,426","1773    Adds rather than subtracts when answering word...
Name: MisconceptionName, dtype: object",
Place Value,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 901,426 \) ?","What number is 10,000 less than 901,426 ?",\( 90.1426 \),90.1426,"228    Divides rather than subtracts when given the c...
Name: MisconceptionName, dtype: object",
Converting between Decimals and Percentages,Convert decimals less than 1 with 1 decimal place to percentages,"Convert this decimal to a percentage
\[
0.6
\]",Convert this decimal to a percentage      0.6 ,\( 6 \% \),6 %,"61    Multiplies by 10 instead of 100 when convertin...
Name: MisconceptionName, dtype: object",
Converting between Decimals and Percentages,Convert decimals less than 1 with 1 decimal place to percentages,"Convert this decimal to a percentage
\[
0.6
\]",Convert this decimal to a percentage      0.6 ,\( 0.6 \% \),0.6 %,"1965    Thinks you need to just add a % sign to a deci...
Name: MisconceptionName, dtype: object",
Converting between Decimals and Percentages,Convert decimals less than 1 with 1 decimal place to percentages,"Convert this decimal to a percentage
\[
0.6
\]",Convert this decimal to a percentage      0.6 ,\( 0.006 \% \),0.006 %,"1973    Divides instead of multiplies when converting ...
Name: MisconceptionName, dtype: object",
Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Simplify the following by collecting like terms.      d+d+d+d ,,4 × d,"1680    Does not realize we can omit the multiplicatio...
Name: MisconceptionName, dtype: object",\( 4 \times d \)
Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Simplify the following by collecting like terms.      d+d+d+d ,\( d 4 \),d 4,"267    Writes the variable before the coefficient in ...
Name: MisconceptionName, dtype: object",
Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Simplify the following by collecting like terms.      d+d+d+d ,\( d^{4} \),d^4,"1644    Confuses collecting like terms with multiplica...
Name: MisconceptionName, dtype: object",
Simplifying Fractions,Simplify fractions that simplify to a unit fraction,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",Write this fraction as simply as possible: 9/12,,3/6,"848    Believes when simplifying a fraction you can d...
Name: MisconceptionName, dtype: object",\( \frac{3}{6} \)
Simplifying Fractions,Simplify fractions that simplify to a unit fraction,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",Write this fraction as simply as possible: 9/12,\( \frac{9}{12} \),9/12,"2021    Does not recognise when a fraction can be simp...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Algebraic Fractions,Add algebraic fractions where one denominator is a multiple of the other,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",Write this as a single fraction as simply as possible: 3/2 x+4/x,\( \frac{7}{3 x} \),7/3 x,"217    When adding fractions, adds the numerators and...
Name: MisconceptionName, dtype: object",
